Movie,Genre,Director,Year,Rating,Budget,Revenue
Movie 58,Sci-Fi,Director E,2012,7.1,44,122
Movie 59,Romance,Director A,2010,6.2,157,668
Movie 60,Drama,Director D,2016,7.3,201,324
Movie 61,Thriller,Director B,2014,5.1,204,656
Movie 62,Sci-Fi,Director E,2021,9.0,220,608
Movie 63,Drama,Director E,2011,6.9,118,530
Movie 64,Drama,Director C,2014,5.8,77,310
Movie 65,Thriller,Director E,2022,5.9,44,152
Movie 66,Action,Director A,2015,6.1,210,366
Movie 67,Romance,Director C,2023,6.7,58,103
Movie 68,Action,Director C,2016,6.8,24,44
Movie 69,Action,Director C,2022,7.9,156,420
Movie 70,Comedy,Director E,2022,7.0,136,603
Movie 71,Action,Director C,2018,9.5,61,131
Movie 72,Sci-Fi,Director E,2019,6.3,116,303
Movie 73,Sci-Fi,Director E,2023,8.1,43,60
Movie 74,Romance,Director D,2016,7.8,42,194
Movie 75,Romance,Director B,2013,7.2,205,746
Movie 76,Thriller,Director D,2019,6.8,51,160
Movie 77,Romance,Director E,2024,6.8,126,457
Movie 78,Comedy,Director A,2013,5.4,52,144
Movie 79,Comedy,Director B,2019,7.8,104,254
Movie 80,Drama,Director A,2016,6.7,178,855
Movie 81,Romance,Director E,2020,8.1,131,423
Movie 82,Romance,Director C,2024,7.7,170,548
Movie 83,Sci-Fi,Director A,2021,7.9,86,169
Movie 84,Thriller,Director C,2018,7.1,218,770
Movie 85,Action,Director D,2019,7.7,187,889
Movie 86,Action,Director E,2020,6.5,241,832
Movie 87,Thriller,Director E,2016,6.1,203,439
Movie 88,Sci-Fi,Director A,2020,7.3,41,137
Movie 89,Sci-Fi,Director C,2010,7.3,127,521
Movie 90,Thriller,Director C,2023,5.1,133,630
Movie 91,Action,Director D,2022,8.3,47,173
Movie 92,Drama,Director E,2020,7.7,198,488
Movie 93,Romance,Director E,2021,7.2,196,506
Movie 94,Comedy,Director B,2017,7.3,56,266
Movie 95,Drama,Director D,2018,8.3,108,356
Movie 96,Romance,Director B,2024,7.8,200,526
Movie 97,Romance,Director A,2019,7.8,185,305
Movie 98,Romance,Director E,2014,5.2,167,573
Movie 99,Thriller,Director C,2010,8.2,22,95
Movie 100,Comedy,Director E,2016,6.3,125,293
Movie 101,Romance,Director D,2017,5.7,200,997
Movie 102,Romance,Director D,2010,7.4,85,136
Movie 103,Romance,Director A,2019,7.1,173,267
Movie 104,Romance,Director E,2020,6.4,26,45
Movie 105,Thriller,Director E,2022,6.6,65,240
Movie 106,Action,Director A,2023,7.7,21,73
Movie 107,Thriller,Director E,2024,4.9,75,106
Movie 108,Thriller,Director E,2020,7.2,234,901
Movie 109,Romance,Director C,2022,6.3,29,48
Movie 110,Sci-Fi,Director C,2020,7.1,192,851
Movie 111,Action,Director E,2016,6.2,189,421
Movie 112,Thriller,Director C,2011,5.8,246,346
Movie 113,Sci-Fi,Director A,2011,6.9,29,112
Movie 114,Comedy,Director B,2016,6.5,41,201
Movie 115,Drama,Director C,2018,6.8,201,678
Movie 116,Action,Director B,2016,6.7,238,808
Movie 117,Thriller,Director B,2018,8.0,169,298
Movie 118,Sci-Fi,Director D,2016,8.8,113,186
Movie 119,Action,Director E,2024,8.0,84,237
Movie 120,Sci-Fi,Director C,2021,7.3,166,457
Movie 121,Comedy,Director E,2022,6.0,155,207
Movie 122,Drama,Director C,2014,8.0,129,435
Movie 123,Sci-Fi,Director C,2015,6.7,182,669
Movie 124,Comedy,Director B,2019,8.0,201,570
Movie 125,Sci-Fi,Director C,2017,7.2,103,411
Movie 126,Romance,Director A,2018,6.9,232,737
Movie 127,Thriller,Director B,2014,6.2,92,283
Movie 128,Action,Director A,2010,8.0,36,50
Movie 129,Comedy,Director C,2011,6.7,97,232
Movie 130,Thriller,Director E,2010,5.2,23,102
Movie 131,Drama,Director D,2016,6.4,55,91
Movie 132,Drama,Director C,2017,9.2,241,996
Movie 133,Comedy,Director D,2016,5.6,178,475
Movie 134,Sci-Fi,Director B,2023,7.7,22,70
Movie 135,Action,Director D,2017,7.8,58,287
Movie 136,Sci-Fi,Director B,2024,8.2,213,370
Movie 137,Drama,Director E,2017,8.3,110,447
Movie 138,Drama,Director C,2010,6.7,128,241
Movie 139,Romance,Director E,2013,5.6,30,69
Movie 140,Drama,Director E,2012,4.8,155,235
Movie 141,Comedy,Director E,2014,7.2,214,784
Movie 142,Thriller,Director D,2016,7.2,196,508
Movie 143,Sci-Fi,Director E,2021,7.3,98,297
Movie 144,Thriller,Director D,2017,6.9,216,1005
Movie 145,Sci-Fi,Director A,2014,5.9,216,668
Movie 146,Sci-Fi,Director C,2022,6.9,44,206
Movie 147,Sci-Fi,Director B,2019,7.8,61,117
Movie 148,Action,Director D,2013,7.5,234,554
Movie 149,Sci-Fi,Director C,2012,7.2,21,81
Movie 150,Sci-Fi,Director D,2017,8.2,246,741
Movie 151,Thriller,Director D,2024,4.8,228,1108
Movie 152,Thriller,Director C,2019,7.6,220,876
Movie 153,Drama,Director D,2022,7.2,147,718
Movie 154,Romance,Director A,2011,8.6,86,348
Movie 155,Drama,Director A,2019,5.8,48,199
Movie 156,Drama,Director E,2024,7.2,247,1214
Movie 157,Drama,Director A,2013,8.1,203,672
Movie 158,Thriller,Director B,2018,7.7,233,312
Movie 159,Drama,Director E,2010,6.1,31,116
Movie 160,Thriller,Director D,2021,6.3,198,793
Movie 161,Thriller,Director B,2015,6.4,31,110
Movie 162,Romance,Director C,2013,7.2,21,79
Movie 163,Action,Director D,2017,6.6,112,420
Movie 164,Comedy,Director C,2013,8.4,216,959
Movie 165,Comedy,Director D,2023,6.7,156,350
Movie 166,Romance,Director E,2018,7.5,63,157
Movie 167,Thriller,Director C,2016,8.8,206,479
Movie 168,Drama,Director C,2021,7.6,51,254
Movie 169,Thriller,Director D,2022,7.1,157,734
Movie 170,Drama,Director B,2013,8.5,51,74
Movie 171,Comedy,Director C,2015,6.2,24,86
Movie 172,Drama,Director C,2023,5.5,117,474
Movie 173,Sci-Fi,Director E,2017,6.9,85,177
Movie 174,Comedy,Director E,2018,6.5,229,920
Movie 175,Sci-Fi,Director D,2013,6.4,170,359
Movie 176,Comedy,Director A,2014,9.1,55,183
Movie 177,Thriller,Director C,2013,7.7,201,604
Movie 178,Romance,Director C,2024,6.6,175,333
Movie 179,Sci-Fi,Director B,2012,6.6,43,207
Movie 180,Sci-Fi,Director E,2021,7.9,120,581
Movie 181,Action,Director B,2021,4.9,29,42
Movie 182,Drama,Director B,2024,8.0,139,193
Movie 183,Action,Director D,2022,7.9,108,416
Movie 184,Comedy,Director E,2016,6.8,89,247
Movie 185,Action,Director B,2012,6.1,45,55
Movie 186,Sci-Fi,Director B,2011,5.6,133,377
Movie 187,Thriller,Director C,2018,6.9,214,519
Movie 188,Comedy,Director E,2018,6.2,130,268
Movie 189,Comedy,Director B,2021,6.0,234,690
Movie 190,Thriller,Director A,2022,7.5,54,93
Movie 191,Romance,Director A,2010,7.7,22,32
Movie 192,Action,Director D,2012,7.9,163,548
Movie 193,Sci-Fi,Director D,2013,7.1,216,959
Movie 194,Sci-Fi,Director C,2017,6.7,57,253
Movie 195,Comedy,Director B,2014,6.1,232,810
Movie 196,Romance,Director A,2023,6.2,103,248
Movie 197,Thriller,Director A,2018,8.1,158,438
Movie 198,Comedy,Director E,2019,7.3,38,95
Movie 199,Action,Director D,2015,5.8,58,225
Movie 200,Thriller,Director E,2014,7.2,93,321
